index,sequence,robotz,exposure,result
136,0,840,70,292
260,3,1416,135,215
141,3,1401,75,507
55,1,1004,30,223
137,3,1412,70,7
202,3,1409,105,973
250,1,1017,130,157
213,1,1003,110,235
183,3,1409,95,587
196,0,819,100,270
124,1,1008,65,260
71,2,1219,40,82
244,1,1010,125,516
53,2,1201,30,349
158,3,1403,80,0
28,1,1023,15,104
69,3,1408,35,41
20,1,1004,15,108
52,3,1402,30,170
119,0,826,60,192
81,1,1010,45,56
102,0,815,55,148
53,0,823,30,170
113,1,1005,60,227
261,0,833,135,208
205,1,1022,105,389
38,1,1049,20,95
139,3,1402,70,601
7,1,1039,5,26
76,3,1409,40,216
187,1,1021,95,145
127,2,1212,65,478
121,1,1035,65,321
62,0,801,35,174
222,2,1223,115,199
173,3,1417,90,228
34,3,1410,20,210
30,3,1416,20,99
119,3,1413,60,476
57,2,1244,30,269
11,2,1210,10,77
140,0,820,75,263
73,3,1426,40,298
80,1,1008,45,280
118,0,824,60,320
48,0,817,25,57
154,0,806,80,356
120,0,823,65,270
189,2,1218,95,343
214,0,830,110,442
114,2,1210,60,131
172,0,843,90,306
258,3,1414,130,199
95,1,1027,50,392
153,1,1041,80,363
107,0,826,55,104
196,1,1002,100,238
18,0,820,10,35
71,3,1422,40,97
31,2,1215,20,99
152,3,1412,80,516
133,0,816,70,362
152,0,839,80,258
53,1,1005,30,237
8,0,819,5,11
209,3,1417,105,494
51,2,1232,30,161
64,3,1417,35,192
50,2,1210,30,5
154,2,1218,80,159
108,3,1416,55,2
128,0,802,65,115
169,1,1026,85,130
110,1,1033,60,415
24,0,823,15,79
253,0,819,130,535
150,0,836,80,164
257,3,1429,130,555
19,1,1019,10,39
201,1,1040,105,359
12,3,1403,10,137
52,0,816,30,140
183,0,826,95,345
262,2,1205,135,191
141,0,829,75,212
168,0,835,85,269
111,2,1216,60,480
6,0,801,5,10
147,1,1014,75,387
212,0,819,110,402
239,0,828,120,491
40,4,1624,25,28
70,2,1202,40,9
188,2,1204,95,122
122,2,1216,65,26
85,3,1406,45,2
160,3,1410,85,380
121,2,1220,65,185
41,1,1038,25,119
203,3,1401,105,10
141,2,1204,75,597
203,1,1021,105,142
23,2,1223,15,91
191,3,1415,100,13
160,2,1207,85,796
216,3,1407,110,1183
62,1,1028,35,399
238,1,1028,120,412
47,3,1420,25,210
192,0,846,100,420
22,3,1405,15,168
143,2,1215,75,1871
209,0,806,105,369
211,3,1416,110,8
124,3,1406,65,17
256,0,803,130,521
113,0,823,60,203
184,3,1411,95,379
151,0,842,80,211
253,3,1405,130,556
31,0,899,20,78
120,4,1611,65,474
78,4,1659,40,53
242,2,1217,125,1130
163,0,820,85,191
19,4,1604,10,182
160,4,1621,85,779
73,2,1222,40,298
185,3,1417,95,6
114,0,840,60,166
218,0,844,110,493
137,0,802,70,140
125,0,814,65,256
191,2,1205,100,7
161,0,851,85,420
245,3,1408,125,468
60,3,1432,35,102
156,0,850,80,245
86,2,1216,45,321
83,3,1403,45,373
67,0,821,35,148
130,3,1410,70,595
149,1,1068,75,337
26,3,1425,15,187
167,3,1403,85,354
4,4,1613,5,23
13,3,1434,10,1
13,2,1217,10,77
43,2,1210,25,7
178,0,819,90,168
170,1,1031,90,396
103,2,1206,55,268
48,2,1244,25,242
154,1,1032,80,192
18,1,1003,10,61
89,2,1210,45,350
172,1,1021,90,443
39,0,841,20,80
26,4,1602,15,64
55,3,1403,30,432
141,1,1010,75,394
129,2,1216,65,334
219,1,1037,110,605
256,3,1421,130,795
181,2,1202,95,717
