index,exposure,result
0,1,218431
1,1,200012
2,1,214210
3,1,157103
4,1,129844
5,1,124860
6,1,143755
7,1,190863
8,1,219074
9,1,224952
10,1,252754
11,1,328852
12,1,388904
13,1,347683
14,1,1.46698e+06
15,1,468253
16,1,458132
17,1,512719
18,1,335547
19,1,212518
0,1,218431
1,1,200012
2,1,214210
3,1,157103
4,1,129844
5,1,124860
6,1,143755
7,1,190863
8,1,219074
9,1,224952
10,1,252754
11,1,328852
12,1,388904
13,1,347683
14,1,1.46698e+06
15,1,468253
16,1,458132
17,1,512719
18,1,335547
19,1,212518
0,1,166631
1,1,131793
2,1,144975
3,1,128364
4,1,119017
5,1,117650
6,1,92895.5
7,1,110283
8,1,102488
9,1,123257
10,1,130246
11,1,181879
12,1,224933
13,1,83338.9
14,1,143929
15,1,308406
16,1,180703
17,1,143600
18,1,171694
19,1,201688
0,1,283772
1,1,349845
2,1,460278
3,1,286400
4,1,340596
5,1,311864
6,1,321768
7,1,342579
8,1,321795
9,1,377200
10,1,405752
11,1,466042
12,1,457335
13,1,457227
14,1,586876
15,1,570775
16,1,640509
17,1,601921
18,1,533126
19,1,468875
0,1,239727
1,1,283140
2,1,313344
3,1,388909
4,1,478385
5,1,540868
6,1,544661
7,1,476568
8,1,432417
9,1,526068
10,1,653452
11,1,737456
12,1,833371
13,1,1.0969e+06
14,1,961643
15,1,908458
16,1,1.34008e+06
17,1,1.9006e+06
18,1,2.52139e+06
19,1,2.0732e+06
0,2,26542.9
1,2,14962.4
2,2,10367.9
3,2,8338.19
4,2,9134.9
5,2,18501.5
6,2,20693.8
7,2,15216.6
8,2,15118.5
9,2,16093.2
10,2,16411
11,2,18984.4
12,2,20350.4
13,2,21236.6
14,2,22572.1
15,2,22964.2
16,2,22282.6
17,2,26033
18,2,24561.9
19,2,25641.4
0,2,24664.2
1,2,19021.2
2,2,13304.1
3,2,19448.3
4,2,38436.9
5,2,38039.4
6,2,50671.5
7,2,42021.5
8,2,70980.9
9,2,102668
10,2,168990
11,2,245418
12,2,1.246e+06
13,2,2.74354e+06
14,2,3.17018e+06
15,2,4.7196e+06
16,2,6.03705e+06
17,2,6.05569e+06
18,2,1.18405e+07
19,2,4.36456e+06
0,2,47984.7
1,2,37297.6
2,2,32539
3,2,66723.5
4,2,220175
5,2,133593
6,2,35924.7
7,2,43552.1
8,2,53289.8
9,2,87752
10,2,103325
11,2,113830
12,2,139188
13,2,167861
14,2,230097
15,2,224955
16,2,209714
17,2,221058
18,2,216226
19,2,203957
0,2,20409.3
1,2,21449
2,2,22943.9
3,2,25343.6
4,2,21053
5,2,26431.7
6,2,27328.6
7,2,28017.2
8,2,28798.2
9,2,27939.8
10,2,42507.5
11,2,47429.8
12,2,59887.6
13,2,57944.6
14,2,68399.4
15,2,65544.5
16,2,66233.9
17,2,60129.1
18,2,58398.6
19,2,67040.7
0,2,45690
1,2,58101.4
2,2,58784.2
3,2,53585.7
4,2,39385
5,2,25574.6
6,2,24301.4
7,2,22806.7
8,2,32695
9,2,24676.2
10,2,31688.6
11,2,66020.2
12,2,91391.9
13,2,135376
14,2,245540
15,2,381253
16,2,296789
17,2,395811
18,2,423627
19,2,405725
0,3,44921.5
1,3,36960.4
2,3,41184.8
3,3,45160.2
4,3,58409.6
5,3,116764
6,3,163612
7,3,141192
8,3,193232
9,3,190117
10,3,186375
11,3,213976
12,3,236861
13,3,166071
14,3,151227
15,3,172503
16,3,147675
17,3,151523
18,3,172846
19,3,138391
0,3,18687.2
1,3,26966.6
2,3,27856.8
3,3,33011.4
4,3,34723.8
5,3,27196.1
6,3,25375.5
7,3,21844.6
8,3,26417.3
9,3,27550.1
10,3,29748.7
11,3,32991.3
12,3,35289.7
13,3,38835.5
14,3,41457.2
15,3,42023.6
16,3,48183.8
17,3,47420.6
18,3,55448.9
19,3,77252.8
0,3,37241.5
1,3,37915.6
2,3,49518.8
3,3,56492.5
4,3,53467.9
5,3,81907.5
6,3,121585
7,3,129381
8,3,140786
9,3,145393
10,3,137890
11,3,163369
12,3,174160
13,3,158556
14,3,174122
15,3,212696
16,3,186662
17,3,219270
18,3,159175
19,3,225863
0,3,19507.5
1,3,14316.1
2,3,13397.1
3,3,11264.4
4,3,10786
5,3,10459.5
6,3,10387.5
7,3,10427.3
8,3,11654.1
9,3,12341
10,3,12676.3
11,3,13221.9
12,3,14133.2
13,3,13633.5
14,3,14537.2
15,3,15467.2
16,3,16607.1
17,3,16624.7
18,3,16924.1
19,3,16886.7
0,3,36080.6
1,3,52044.9
2,3,68904.8
3,3,102879
4,3,143722
5,3,142739
6,3,141716
7,3,397386
8,3,591942
9,3,160352
10,3,140120
11,3,243281
12,3,257297
13,3,630312
14,3,562013
15,3,234967
16,3,375690
17,3,642697
18,3,715083
19,3,1.03783e+06
0,4,16042.2
1,4,18880.7
2,4,14607.8
3,4,19646.4
4,4,27094.2
5,4,41039.8
6,4,39877.4
7,4,44009.6
8,4,44672
9,4,56157.9
10,4,67596.5
11,4,84346.7
12,4,93444.4
13,4,118230
14,4,136983
15,4,156793
16,4,150846
17,4,164354
18,4,198324
19,4,174530
0,4,40362.6
1,4,52324.3
2,4,63441
3,4,38893.2
4,4,58495
5,4,64628.5
6,4,88059.3
7,4,94530.9
8,4,233322
9,4,244149
10,4,207941
11,4,280231
12,4,325809
13,4,485540
14,4,379811
15,4,355928
16,4,424306
17,4,498894
18,4,428076
19,4,388531
0,4,30001.9
1,4,32245.4
2,4,28425.2
3,4,29651.1
4,4,19161.2
5,4,22040.8
6,4,31096.3
7,4,36800.8
8,4,38121.1
9,4,43335.1
10,4,99246
11,4,83532.7
12,4,66319.1
13,4,54601.4
14,4,67177.9
15,4,75550.4
16,4,81179.4
17,4,78896.9
18,4,69160.9
19,4,73866.7
0,4,15505.1
1,4,12130.1
2,4,12558.9
3,4,14470.7
4,4,16230.1
5,4,12010.9
