index,exposure,result
0,0,0.317986
1000,200,185.119
1001,200,183.454
1002,200,183.853
1003,200,184.461
1004,200,184.747
1005,201,185.319
1006,201,187.226
1007,201,185.866
1008,201,185.841
1009,201,185.915
100,20,15.5782
1010,202,185.349
1011,202,187.302
1012,202,184.098
1013,202,185.694
1014,202,185.5
1015,203,186.323
1016,203,186.248
1017,203,186.184
1018,203,185.271
1019,203,186.504
101,20,15.5582
1020,204,188.25
1021,204,186.903
1022,204,186.875
1023,204,187.293
1024,204,187.607
1025,205,187.129
1026,205,186.837
1027,205,188.323
1028,205,187.591
1029,205,187.434
102,20,15.9523
1030,206,189.012
1031,206,188.693
1032,206,186.729
1033,206,186.726
1034,206,187.704
1035,207,187.972
1036,207,188.022
1037,207,187.636
1038,207,187.529
1039,207,188.423
103,20,15.3933
1040,208,187.949
1041,208,189.722
1042,208,189.6
1043,208,189.384
1044,208,188.139
1045,209,189.893
1046,209,188.51
1047,209,190.235
1048,209,190.321
1049,209,190.16
104,20,15.731
1050,210,189.627
1051,210,190.184
1052,210,189.921
1053,210,189.293
1054,210,189.249
1055,211,191.066
1056,211,190.022
1057,211,190.628
1058,211,189.675
1059,211,191.635
105,21,17.2026
1060,212,191.525
1061,212,190.691
1062,212,191.19
1063,212,190.199
1064,212,191.113
1065,213,191.141
1066,213,191.631
1067,213,192.293
1068,213,190.632
1069,213,190.546
106,21,17.0335
1070,214,192.94
1071,214,193.042
1072,214,192.28
1073,214,193.73
1074,214,192.604
1075,215,192.179
1076,215,192.732
1077,215,192.751
1078,215,191.784
1079,215,191.364
107,21,17.3355
1080,216,193.964
1081,216,192.084
1082,216,193.172
1083,216,193.446
1084,216,193.655
1085,217,194.289
1086,217,193.906
1087,217,195.083
1088,217,193.281
1089,217,192.247
108,21,16.9429
1090,218,193.126
1091,218,194.817
1092,218,192.991
1093,218,193.34
1094,218,193.097
1095,219,194.13
1096,219,193.916
1097,219,193.633
1098,219,194.866
1099,219,193.721
109,21,17.2514
10,2,0.507149
1100,220,194.312
1101,220,196.184
1102,220,195.506
1103,220,193.617
1104,220,194.94
1105,221,195.423
1106,221,194.409
1107,221,195.834
1108,221,195.149
1109,221,196.303
110,22,18.962
1110,222,194.934
1111,222,194.605
1112,222,194.754
1113,222,194.96
1114,222,194.85
1115,223,196.284
1116,223,195.05
1117,223,196.586
1118,223,195.806
1119,223,195.228
111,22,18.5701
1120,224,196.572
1121,224,197.292
1122,224,196.685
1123,224,196.903
1124,224,197.484
1125,225,197.366
1126,225,197.705
1127,225,196.712
1128,225,197.047
1129,225,196.982
112,22,18.2266
1130,226,197.474
1131,226,197.678
1132,226,197.062
1133,226,198.13
1134,226,196.526
1135,227,197.342
1136,227,196.86
1137,227,197.895
1138,227,196.555
1139,227,198.231
113,22,18.5346
1140,228,198.576
1141,228,197.629
1142,228,197.894
1143,228,198.902
1144,228,198.208
1145,229,199.397
1146,229,198.068
1147,229,198.797
1148,229,197.815
1149,229,197.429
114,22,18.2372
1150,230,198.188
1151,230,197.937
1152,230,198.922
1153,230,199.461
1154,230,197.085
1155,231,199.165
1156,231,198.683
1157,231,199.255
1158,231,199.17
1159,231,199.694
115,23,19.9565
1160,232,199.8
1161,232,198.127
1162,232,199.552
1163,232,199.958
1164,232,199.59
1165,233,199.408
1166,233,202.299
1167,233,200.312
1168,233,200.219
1169,233,200.504
116,23,20.0386
1170,234,200.99
1171,234,201.401
1172,234,200.992
1173,234,201.21
1174,234,200.141
1175,235,201.562
1176,235,200.819
1177,235,200.481
1178,235,201.359
1179,235,201.562
117,23,19.6944
1180,236,201.292
1181,236,200.514
1182,236,203.18
1183,236,201.02
1184,236,201.01
1185,237,202.295
1186,237,201.947
1187,237,201.758
1188,237,201.107
1189,237,202.085
118,23,19.9179
1190,238,201.752
1191,238,202.141
1192,238,202.93
1193,238,202.56
1194,238,203.176
1195,239,203.521
1196,239,202.792
1197,239,200.967
1198,239,202.731
1199,239,203.649
119,23,20.0465
11,2,0.501395
1200,240,203.677
1201,240,203.046
1202,240,203.347
1203,240,202.021
1204,240,203.134
1205,241,203.14
1206,241,204.108
1207,241,204.48
1208,241,202.894
1209,241,202.151
120,24,21.5927
1210,242,203.491
1211,242,203.543
1212,242,203.751
1213,242,203.607
1214,242,204.23
1215,243,203.829
1216,243,205.208
1217,243,204.414
1218,243,203.192
1219,243,204.638
121,24,21.1913
1220,244,204.552
1221,244,203.71
1222,244,203.435
1223,244,203.773
1224,244,202.939
1225,245,204.975
1226,245,203.771
1227,245,204.124
1228,245,206.395
1229,245,205.645
122,24,21.431
1230,246,205.541
1231,246,206.795
1232,246,204.986
1233,246,204.622
1234,246,205.215
1235,247,204.421
1236,247,206.548
1237,247,205.851
1238,247,206.227
1239,247,205.107
123,24,21.5734
1240,248,204.88
1241,248,205.955
1242,248,205.632
1243,248,206.997
1244,248,204.961
1245,249,206.652
1246,249,206.257
1247,249,206.598
1248,249,206.649
1249,249,206.316
124,24,21.7788
1250,250,206.325
1251,250,206.396
1252,250,207.499
1253,250,206.789
1254,250,206.871
1255,251,206.743
1256,251,206.567
1257,251,206.463
1258,251,207.019
1259,251,206.16
125,25,23.0067
1260,252,206.785
1261,252,208.808
1262,252,208.917
1263,252,207.484
1264,252,207.904
1265,253,207.04
1266,253,208.499
1267,253,208.245
1268,253,208.275
1269,253,208.311
126,25,23.1604
1270,254,208.756
1271,254,208.926
1272,254,208.729
1273,254,209.276
1274,254,209.193
1275,255,209.555
1276,255,207.323
1277,255,208.476
1278,255,209.117
1279,255,208.57
127,25,23.1571
1280,256,209.536
1281,256,210.218
1282,256,209.455
1283,256,209.261
1284,256,208.685
1285,257,210.778
1286,257,208.564
1287,257,210.143
1288,257,211
1289,257,209.715
128,25,22.8349
1290,258,210.691
1291,258,210.323
1292,258,209.995
1293,258,210.708
1294,258,209.99
1295,259,210.204
1296,259,210.594
1297,259,210.939
1298,259,210.197
1299,259,209.995
129,25,22.59
12,2,0.50866
1300,260,210.042
1301,260,210.877
1302,260,212.016
1303,260,211.457
1304,260,211.22
1305,261,210.806
1306,261,211.189
1307,261,209.615
1308,261,211.721
1309,261,211.279
130,26,24.0647
1310,262,212.337
1311,262,212.761
1312,262,212.116
1313,262,212.439
1314,262,212.331
1315,263,213.203
1316,263,211.476
1317,263,212.852
1318,263,212.752
1319,263,213.67
131,26,24.3356
1320,264,213.331
1321,264,212.217
1322,264,212.063
1323,264,211.694
1324,264,212.752
1325,265,213.103
1326,265,213.848
1327,265,212.92
1328,265,214.622
1329,265,212.195
132,26,24.6378
1330,266,214.586
1331,266,213.008
1332,266,211.996
1333,266,213.232
1334,266,212.877
1335,267,214.59
1336,267,212.361
1337,267,214.006
1338,267,215.056
1339,267,213.684
133,26,24.4817
1340,268,215.71
1341,268,213.756
1342,268,213.971
1343,268,214.176
1344,268,213.598
1345,269,213.584
1346,269,214.766
1347,269,212.712
1348,269,212.5
1349,269,213.157
134,26,24.2818
1350,270,214.976
1351,270,213.86
1352,270,214.98
1353,270,215.27
1354,270,214.31
1355,271,214.465
1356,271,215.924
1357,271,214.229
1358,271,215.395
1359,271,214.688
135,27,25.6954
1360,272,215.59
1361,272,215.249
1362,272,217.187
1363,272,216.251
1364,272,216.307
1365,273,215.101
1366,273,215.094
1367,273,216.491
1368,273,216.605
1369,273,215.755
136,27,25.5664
1370,274,215.743
1371,274,215.408
1372,274,215.688
1373,274,216.652
1374,274,216.863
1375,275,216.58
1376,275,217.022
1377,275,216.252
1378,275,218.019
1379,275,217.758
137,27,25.4582
1380,276,217.752
1381,276,217.36
1382,276,215.671
1383,276,217.01
1384,276,216.012
1385,277,216.962
1386,277,218.372
1387,277,217.159
1388,277,217.635
1389,277,219.785
138,27,25.9709
1390,278,218.165
1391,278,218.195
1392,278,216.7
1393,278,218.074
1394,278,218.857
1395,279,218.254
1396,279,217.963
1397,279,217.6
1398,279,219.712
1399,279,217.191
139,27,25.6184
13,2,0.518207
1400,280,219.954
1401,280,219.37
1402,280,219.741
1403,280,217.465
1404,280,218.45
1405,281,217.934
1406,281,218.562
1407,281,218.208
1408,281,217.788
1409,281,218.973
140,28,28.0384
1410,282,219.583
1411,282,219.21
1412,282,219.73
1413,282,220.178
1414,282,218.403
1415,283,219.094
1416,283,218.012
1417,283,219.067
1418,283,218.535
1419,283,219.795
141,28,27.7957
1420,284,220.501
1421,284,219.769
1422,284,219.605
1423,284,221.638
1424,284,218.565
1425,285,219.919
1426,285,220.104
1427,285,219.561
1428,285,220.3
1429,285,218.451
142,28,26.5777
1430,286,220.987
1431,286,222.141
1432,286,220.341
1433,286,221.436
1434,286,221.504
1435,287,220.412
1436,287,223.441
1437,287,220.769
1438,287,222.191
1439,287,219.411
143,28,27.5286
1440,288,221.833
1441,288,221.347
1442,288,219.914
1443,288,221.204
1444,288,221.615
1445,289,222.81
1446,289,222.048
1447,289,221.313
1448,289,221.737
1449,289,223.618
144,28,27.6558
1450,290,221.893
1451,290,222.545
1452,290,223.333
1453,290,222.298
1454,290,222.017
1455,291,221.77
1456,291,222.766
1457,291,222.891
1458,291,223.963
1459,291,222.972
145,29,29.0349
1460,292,223.834
1461,292,224.075
1462,292,222.838
1463,292,223.785
1464,292,222.311
1465,293,223.339
1466,293,222.575
1467,293,223.432
1468,293,222.982
1469,293,224.711
146,29,28.6989
1470,294,222.664
1471,294,223.667
1472,294,224.611
1473,294,223.901
1474,294,223.969
1475,295,223.188
1476,295,223.551
1477,295,223.425
1478,295,224.19
1479,295,223.923
147,29,29.2317
1480,296,222.878
1481,296,222.715
1482,296,224.488
1483,296,224.154
1484,296,224.129
1485,297,223.686
1486,297,223.104
1487,297,225.926
1488,297,225.983
1489,297,225.52
148,29,29.1765
1490,298,226.729
1491,298,224.388
1492,298,225.26
1493,298,225.866
1494,298,225.018
1495,299,226.237
1496,299,226.03
1497,299,225.039
1498,299,226.24
1499,299,226.01
149,29,28.671
14,2,0.486417
1500,300,226.626
1501,300,225.634
1502,300,226.503
1503,300,226.808
1504,300,225.34
1505,301,225.88
1506,301,227.117
1507,301,225.773
1508,301,226.684
1509,301,226.469
150,30,30.2821
1510,302,226.146
1511,302,226.159
1512,302,226.703
1513,302,226.898
1514,302,225.672
1515,303,227.24
1516,303,227.512
1517,303,225.821
1518,303,225.535
1519,303,227.353
151,30,31.2812
1520,304,227.115
1521,304,227.868
1522,304,228.348
1523,304,227.098
1524,304,228.176
1525,305,227.423
1526,305,227.087
1527,305,227.722
1528,305,227.353
1529,305,228.111
152,30,30.8853
1530,306,227.554
1531,306,227.626
1532,306,227.188
1533,306,227.566
1534,306,227.298
1535,307,228.996
1536,307,228.882
1537,307,227.098
1538,307,229.84
1539,307,228.632
153,30,30.4594
1540,308,227.881
1541,308,229.131
1542,308,227.57
1543,308,228.072
1544,308,228.759
1545,309,228.363
1546,309,228.742
1547,309,229.114
1548,309,228.662
1549,309,228.633
154,30,30.1513
1550,310,229.551
1551,310,230.198
1552,310,228.79
1553,310,230.416
1554,310,230.138
1555,311,230.101
1556,311,230.899
1557,311,230.116
1558,311,229.024
1559,311,229.864
155,31,31.9967
1560,312,229.466
1561,312,230.842
1562,312,228.895
1563,312,231.216
1564,312,228.862
156,31,31.6845
157,31,31.9081
158,31,32.2437
159,31,32.2123
15,3,0.866939
160,32,33.9957
161,32,33.5852
162,32,33.4593
163,32,32.8632
164,32,33.9782
165,33,35.1785
166,33,35.3724
167,33,34.9907
168,33,34.9466
169,33,34.841
16,3,0.852447
170,34,36.1549
171,34,36.9279
172,34,37.2347
173,34,36.3535
174,34,36.5883
175,35,38.3909
176,35,38.2398
177,35,37.9518
178,35,37.5427
179,35,38.3174
17,3,0.826919
180,36,39.2537
181,36,39.8577
182,36,39.2491
183,36,39.4528
184,36,39.2867
185,37,41.3102
186,37,40.671
187,37,39.7094
188,37,41.0657
189,37,40.447
18,3,0.865298
190,38,42.6267
191,38,42.0176
192,38,41.8834
193,38,42.3391
194,38,41.8564
195,39,43.6885
196,39,44.201
197,39,43.5206
198,39,43.7011
199,39,43.4472
19,3,0.865418
1,0,0.314544
200,40,44.4284
201,40,44.7492
202,40,44.5342
203,40,44.8792
204,40,44.2656
205,41,46.1306
206,41,46.7944
207,41,46.2031
208,41,46.7274
209,41,46.6251
20,4,1.25327
210,42,47.8414
211,42,47.9908
212,42,47.2373
213,42,48.2757
214,42,47.7068
215,43,49.1465
216,43,48.3134
217,43,49.0901
218,43,48.7591
219,43,49.004
21,4,1.28564
220,44,50.8066
221,44,50.2405
222,44,50.1982
223,44,50.458
224,44,50.3225
225,45,51.7003
226,45,51.0341
227,45,51.7079
228,45,51.3505
229,45,51.9055
22,4,1.21938
230,46,52.355
231,46,51.7553
232,46,51.7342
233,46,52.6794
234,46,52.2222
235,47,54.0715
236,47,54.7098
237,47,53.9429
238,47,52.9348
239,47,54.3084
23,4,1.2334
240,48,55.1596
241,48,55.5402
242,48,54.7614
243,48,55.1176
244,48,55.5711
245,49,56.4672
246,49,56.1678
247,49,56.2952
248,49,55.6809
249,49,56.5027
24,4,1.2195
250,50,57.8076
251,50,57.4895
252,50,58.6942
253,50,58.4569
254,50,58.2036
255,51,59.4835
256,51,58.9607
257,51,59.1869
258,51,59.7847
259,51,58.8415
25,5,1.71904
260,52,60.4521
261,52,60.2676
262,52,61.3944
263,52,60.5306
264,52,60.5561
265,53,61.7998
266,53,62.1948
267,53,61.9647
268,53,61.3388
269,53,63.0332
26,5,1.68826
270,54,64.2289
271,54,63.1266
272,54,63.4198
273,54,63.4878
274,54,63.4746
275,55,64.1138
276,55,63.8816
277,55,64.5801
278,55,64.4442
279,55,63.443
27,5,1.71188
280,56,65.4904
281,56,66.4244
282,56,65.6232
283,56,66.8887
284,56,66.3741
285,57,67.2036
286,57,66.0213
287,57,66.2573
288,57,65.5898
289,57,66.8187
28,5,1.71006
290,58,68.5651
291,58,68.0136
292,58,67.8585
293,58,68.0654
294,58,68.131
295,59,69.0558
296,59,68.9643
297,59,69.5888
298,59,69.4714
299,59,69.1872
29,5,1.67708
2,0,0.302646
300,60,70.8604
301,60,69.593
302,60,70.4465
303,60,70.2865
304,60,71.1481
305,61,71.7
306,61,71.5842
307,61,71.1686
308,61,71.3332
309,61,70.968
30,6,2.11062
310,62,72.9106
311,62,72.2657
312,62,71.8193
313,62,72.8527
314,62,70.9016
315,63,73.3897
316,63,74.2221
317,63,74.1599
318,63,73.8409
319,63,73.3233
31,6,2.09018
320,64,74.4442
321,64,74.8583
322,64,74.8979
