index,exposure,result
0,0,0.230979
1000,200,89.7225
1001,200,84.1975
1002,200,90.2787
1003,200,88.549
1004,200,86.2864
1005,201,85.4653
1006,201,90.9015
1007,201,86.0315
1008,201,88.9187
1009,201,88.0617
100,20,3.30791
1010,202,86.8711
1011,202,89.894
1012,202,87.376
1013,202,87.483
1014,202,88.0386
1015,203,89.0156
1016,203,89.1357
1017,203,90.6625
1018,203,89.8913
1019,203,89.4411
101,20,3.25954
1020,204,91.4104
1021,204,89.6773
1022,204,89.6428
1023,204,89.5303
1024,204,89.1718
1025,205,88.6202
1026,205,87.8349
1027,205,90.9941
1028,205,88.9213
1029,205,90.0265
102,20,3.19948
1030,206,90.4434
1031,206,88.5799
1032,206,89.0898
1033,206,90.4413
1034,206,89.8795
1035,207,91.0237
1036,207,89.5081
1037,207,90.4874
1038,207,88.1008
1039,207,93.0844
103,20,3.34183
1040,208,90.0828
1041,208,92.6417
1042,208,90.5529
1043,208,91.8327
1044,208,88.5431
1045,209,92.2386
1046,209,89.6834
1047,209,90.8876
1048,209,90.1089
1049,209,89.6512
104,20,3.36717
1050,210,92.0399
1051,210,93.6291
1052,210,92.4202
1053,210,92.1854
1054,210,93.5847
1055,211,91.4493
1056,211,90.3844
1057,211,92.6786
1058,211,90.2288
1059,211,92.5292
105,21,3.55212
1060,212,94.6873
1061,212,93.0404
1062,212,93.4185
1063,212,95.1037
1064,212,93.0861
1065,213,91.8497
1066,213,92.4477
1067,213,92.5574
1068,213,93.7315
1069,213,92.5121
106,21,3.44804
1070,214,91.4331
1071,214,94.4914
1072,214,93.3905
1073,214,93.7838
1074,214,92.7335
1075,215,92.7479
1076,215,93.329
1077,215,92.9749
1078,215,94.2499
1079,215,94.8604
107,21,3.47287
1080,216,92.9316
1081,216,94.7487
1082,216,96.0618
1083,216,93.3922
1084,216,94.6814
1085,217,95.7536
1086,217,96.0431
1087,217,95.7573
1088,217,94.6842
1089,217,92.8675
108,21,3.41429
1090,218,92.4408
1091,218,94.6769
1092,218,97.9338
1093,218,94.329
1094,218,96.0382
1095,219,95.6538
1096,219,96.3505
1097,219,95.4373
1098,219,96.7049
1099,219,95.7575
109,21,3.4389
10,2,0.304917
1100,220,96.812
1101,220,96.8032
1102,220,95.528
1103,220,94.4575
1104,220,95.1236
1105,221,96.5883
1106,221,97.5094
1107,221,96.7779
1108,221,96.344
1109,221,97.9919
110,22,3.63373
1110,222,96.0327
1111,222,97.3477
1112,222,99.0467
1113,222,97.9262
1114,222,96.0747
1115,223,96.7545
1116,223,98.0997
1117,223,97.2311
1118,223,95.4558
1119,223,98.6576
111,22,3.59421
1120,224,96.6763
1121,224,98.7048
1122,224,96.8187
1123,224,96.5339
1124,224,98.3754
1125,225,95.5887
1126,225,99.1663
1127,225,100.297
1128,225,99.0432
1129,225,97.9066
112,22,3.72887
1130,226,99.945
1131,226,100.743
1132,226,100.508
1133,226,99.0715
1134,226,97.9428
1135,227,101.098
1136,227,101.251
1137,227,101.569
1138,227,97.8895
1139,227,100.371
113,22,3.6616
1140,228,97.5995
1141,228,99.8008
1142,228,102.262
1143,228,98.9474
