sequence,index,robotz,exposure,result
1,0,823,1,3341
1,1,863,1,4109
1,2,901,1,2918
1,3,936,1,3128
1,4,969,1,2912
1,5,999,1,2992
1,6,1026,1,3118
1,7,1052,1,3574
1,8,1094,1,3696
1,9,1112,1,3242
1,10,1127,1,3668
1,11,1140,1,3090
1,12,1151,1,3615
1,13,1158,1,3831
1,14,1164,1,4384
1,15,1167,1,3645
1,16,1167,1,4197
1,17,1167,1,3865
1,18,1167,1,4197
1,19,1167,1,3605
2,0,815,1,2896
2,1,855,1,3432
2,2,892,1,3221
2,3,926,1,2895
2,4,959,1,2462
2,5,989,1,3190
2,6,1017,1,2589
2,7,1042,1,2147
2,8,1065,1,2339
2,9,1086,1,2883
2,10,1104,1,2499
2,11,1120,1,2614
2,12,1134,1,2636
2,13,1145,1,2843
2,14,1161,1,2760
2,15,1165,1,2879
2,16,1167,1,3499
2,17,1167,1,3164
2,18,1167,1,2864
2,19,1167,1,3085
3,0,820,1,2695
3,1,859,1,2512
3,2,895,1,2953
3,3,929,1,2547
3,4,961,1,3210
3,5,1018,1,2858
3,6,1043,1,3162
3,7,1066,1,3419
3,8,1086,1,3076
3,9,1104,1,3191
3,10,1120,1,3845
3,11,1133,1,4041
3,12,1145,1,3954
3,13,1153,1,3180
3,14,1160,1,3631
3,15,1164,1,2928
3,16,1166,1,3094
3,17,1167,1,3376
3,18,1167,1,3071
3,19,1167,1,2427
4,0,836,1,3548
4,1,875,1,3496
4,2,912,1,3098
4,3,946,1,3113
4,4,978,1,4359
4,5,1007,1,3971
4,6,1034,1,3760
4,7,1058,1,3691
4,8,1080,1,3578
4,9,1099,1,3924
4,10,1131,1,4352
4,11,1143,1,3580
4,12,1153,1,3619
4,13,1160,1,4133
4,14,1164,1,3844
4,15,1166,1,3870
4,16,1167,1,3344
4,17,1167,1,3648
4,18,1167,1,4958
4,19,1167,1,4574
5,0,816,2,1310
5,1,855,2,1176
5,2,891,2,1327
5,3,926,2,1472
5,4,958,2,1398
5,5,988,2,1437
5,6,1041,2,1431
5,7,1064,2,1583
5,8,1084,2,1729
5,9,1103,2,1806
5,10,1119,2,1925
5,11,1133,2,2062
5,12,1144,2,2119
5,13,1153,2,2190
5,14,1160,2,2135
5,15,1165,2,2217
5,16,1167,2,2258
5,17,1167,2,2339
5,18,1167,2,2449
5,19,1167,2,2520
6,0,801,2,1863
6,1,843,2,1714
6,2,881,2,1708
6,3,918,2,1692
6,4,952,2,1566
6,5,983,2,1693
6,6,1012,2,1842
6,7,1038,2,1999
6,8,1062,2,2139
6,9,1084,2,2227
6,10,1119,2,2016
6,11,1134,2,2137
6,12,1145,2,2780
6,13,1154,2,3421
6,14,1161,2,3667
6,15,1165,2,3957
6,16,1167,2,4416
6,17,1167,2,4544
6,18,1167,2,4194
6,19,1167,2,4273
7,0,824,2,2531
7,1,864,2,2801
7,2,902,2,2421
7,3,937,2,2687
7,4,969,2,2430
7,5,999,2,2505
7,6,1027,2,2839
7,7,1052,2,2482
7,8,1074,2,2394
7,9,1095,2,2460
7,10,1112,2,2352
7,11,1128,2,2900
7,12,1140,2,3094
7,13,1151,2,2983
7,14,1158,2,2926
7,15,1164,2,3307
7,16,1167,2,3039
7,17,1167,2,3103
7,18,1167,2,3077
7,19,1167,2,3022
8,0,840,2,1583
8,1,877,2,1425
