index,sequence,robotz,exposure,blur
0001,0,817,5,2445
0001,1,1002,5,1892
0001,2,1203,5,1374
0001,3,1416,5,1062
0001,4,1610,5,1081
0002,0,814,5,4128
0002,1,1040,5,4414
0002,2,1202,5,4285
0003,0,844,5,2553
0003,1,1024,5,2028
0003,2,1217,5,1846
0003,3,1416,5,1682
0004,0,830,5,3017
0004,1,1012,5,2881
0004,2,1210,5,2995
0004,3,1416,5,5777
0005,0,816,5,2545
0005,1,1002,5,1521
0005,2,1203,5,1513
0005,3,1416,5,1535
0005,4,1604,5,2210
0006,0,831,5,2617
0006,1,1013,5,2753
0006,2,1210,5,4021
0006,3,1411,5,3684
0007,0,816,5,2795
0007,1,1042,5,2369
0007,2,1203,5,2306
0007,3,1416,5,4944
0007,4,1606,5,4873
0008,0,821,5,3317
0008,1,1005,5,3244
0008,2,1205,5,3607
0008,3,1403,5,4813
0009,0,830,5,2444
0009,1,1052,5,2142
0009,2,1210,5,1416
0009,3,1424,5,1262
0009,4,1610,5,1092
0010,0,804,10,2427
0010,1,1032,10,2104
0010,2,1222,10,1982
0010,3,1409,10,1153
0011,0,818,10,2179
0011,1,1003,10,1388
0011,2,1229,10,880
0011,3,1448,10,761
0011,4,1601,10,2300
0012,0,811,10,2448
0012,1,1037,10,1624
0012,2,1225,10,2100
0012,3,1401,10,2497
0013,0,803,10,2296
0013,1,1031,10,2074
0013,2,1221,10,1576
0013,3,1408,10,2972
0014,0,849,10,1694
0014,1,1028,10,1470
0014,2,1219,10,1082
0014,3,1402,10,1132
0014,4,1628,10,1371
0015,0,816,10,2143
0015,1,1001,10,1933
0015,2,1203,10,2306
0015,3,1410,10,2357
0016,0,834,10,1862
0016,1,1016,10,1418
0016,2,1212,10,1068
0016,3,1421,10,737
0017,0,839,10,2763
0017,1,1020,10,2551
0017,2,1214,10,3213
0017,3,1405,10,2774
0018,0,817,10,2100
0018,1,1002,10,1265
0018,2,1203,10,692
0018,3,1409,10,1301
0019,0,850,10,2075
0019,1,1028,10,1521
0019,2,1219,10,1543
0019,3,1422,10,767
0020,0,806,15,1613
0020,1,1072,15,1427
0020,2,1223,15,2037
0020,3,1403,15,1794
0021,0,824,15,1496
0021,1,1008,15,1379
0021,2,1207,15,1358
0021,3,1422,15,2501
0022,0,816,15,1180
0022,1,1002,15,863
0022,2,1203,15,546
0022,3,1416,15,539
0022,4,1610,15,331
0023,0,812,15,1486
0023,1,1038,15,907
0023,2,1226,15,679
0023,3,1404,15,1227
0024,0,899,15,1210
0024,1,1029,15,940
0024,2,1220,15,943
0024,3,1405,15,1923
0025,0,889,15,1263
0025,1,1021,15,1169
0025,2,1215,15,1472
0025,3,1414,15,1645
0026,0,819,15,1233
0026,1,1004,15,918
0026,2,1204,15,1748
0026,3,1411,15,866
0027,0,815,15,1732
0027,1,1040,15,1339
0027,2,1202,15,1328
0027,3,1416,15,1245
0028,0,811,15,1149
0028,1,1038,15,1075
0028,2,1225,15,1400
0028,3,1411,15,2025
0029,0,842,15,1473
0029,1,1022,15,1066
0029,2,1216,15,844
0029,3,1402,15,493
0029,4,1613,15,783
0030,0,846,20,784
0030,1,1025,20,793
0030,2,1218,20,992
0030,3,1405,20,731
0031,0,816,20,973
0031,1,1002,20,891
0031,2,1203,20,714
0031,3,1416,20,1200
0032,0,830,20,1030
0032,1,1013,20,751
