index,sequence,robotz,exposure,result
136,0,840,70,7.98868
260,3,1416,135,7.99435
141,3,1401,75,7.99435
55,1,1004,30,7.96
137,3,1412,70,7.07682
202,3,1409,105,7.99435
250,1,1017,130,7.99435
213,1,1003,110,7.99435
183,3,1409,95,7.99435
196,0,819,100,7.98868
124,1,1008,65,7.99435
71,2,1219,40,7.26679
244,1,1010,125,7.99435
53,2,1201,30,7.98868
158,3,1403,80,4.24793
28,1,1023,15,7.5157
69,3,1408,35,7.07682
20,1,1004,15,7.49185
52,3,1402,30,7.99435
119,0,826,60,7.98299
81,1,1010,45,7.99435
102,0,815,55,7.97154
53,0,823,30,7.84549
113,1,1005,60,7.98868
261,0,833,135,7.98868
205,1,1022,105,7.99435
38,1,1049,20,7.60733
139,3,1402,70,7.98868
7,1,1039,5,6.42626
76,3,1409,40,7.99435
187,1,1021,95,7.98868
127,2,1212,65,7.98868
121,1,1035,65,7.99435
62,0,801,35,7.91289
222,2,1223,115,7.99435
173,3,1417,90,7.99435
34,3,1410,20,7.99435
30,3,1416,20,7.93664
119,3,1413,60,7.99435
57,2,1244,30,7.99435
11,2,1210,10,7.96578
140,0,820,75,7.99435
73,3,1426,40,7.77479
80,1,1008,45,7.98868
118,0,824,60,7.98299
48,0,817,25,7.62936
154,0,806,80,7.98868
120,0,823,65,7.98299
189,2,1218,95,7.99435
214,0,830,110,7.99435
114,2,1210,60,7.98868
172,0,843,90,7.98868
258,3,1414,130,7.99435
95,1,1027,50,7.99435
153,1,1041,80,7.99435
107,0,826,55,7.92481
196,1,1002,100,7.98868
18,0,820,10,7.58496
71,3,1422,40,7.2854
31,2,1215,20,7.99435
152,3,1412,80,7.99435
133,0,816,70,7.98868
152,0,839,80,7.98868
53,1,1005,30,7.96
8,0,819,5,6.88264
209,3,1417,105,7.99435
51,2,1232,30,7.98868
64,3,1417,35,7.79442
50,2,1210,30,7.32193
154,2,1218,80,7.62205
108,3,1416,55,6.2854
128,0,802,65,7.98299
169,1,1026,85,7.98868
110,1,1033,60,7.99435
24,0,823,15,7.96
253,0,819,130,7.99435
150,0,836,80,7.99435
257,3,1429,130,7.99435
19,1,1019,10,7.31288
201,1,1040,105,7.99435
12,3,1403,10,7.24793
52,0,816,30,7.77479
183,0,826,95,7.98868
262,2,1205,135,7.98868
141,0,829,75,7.98299
168,0,835,85,7.98868
111,2,1216,60,7.99435
6,0,801,5,6.93074
147,1,1014,75,7.98868
212,0,819,110,7.98868
239,0,828,120,7.98868
40,4,1624,25,7.99435
70,2,1202,40,7.09803
188,2,1204,95,7.98868
122,2,1216,65,7.44294
85,3,1406,45,6.16993
160,3,1410,85,7.99435
121,2,1220,65,7.98868
41,1,1038,25,7.93664
203,3,1401,105,7.07682
141,2,1204,75,7.99435
203,1,1021,105,7.98868
23,2,1223,15,7.93664
191,3,1415,100,7.16993
160,2,1207,85,7.99435
216,3,1407,110,7.99435
62,1,1028,35,7.99435
238,1,1028,120,7.99435
47,3,1420,25,7.99435
192,0,846,100,7.98868
22,3,1405,15,7.97728
143,2,1215,75,7.99435
209,0,806,105,7.98299
211,3,1416,110,7.05528
124,3,1406,65,7.01123
256,0,803,130,7.98868
113,0,823,60,7.98868
184,3,1411,95,7.99435
151,0,842,80,7.98868
253,3,1405,130,7.99435
31,0,899,20,7.98868
120,4,1611,65,7.99435
78,4,1659,40,6.97728
242,2,1217,125,7.99435
163,0,820,85,7.98868
19,4,1604,10,7.66534
160,4,1621,85,7.99435
73,2,1222,40,7.99435
185,3,1417,95,6.70044
114,0,840,60,7.98868
218,0,844,110,7.98868
137,0,802,70,7.9542
125,0,814,65,7.96578
191,2,1205,100,6.97728
161,0,851,85,7.98868
245,3,1408,125,7.99435
60,3,1432,35,7.99435
156,0,850,80,7.98868
86,2,1216,45,7.98868
83,3,1403,45,7.99435
67,0,821,35,7.96578
130,3,1410,70,7.98868
149,1,1068,75,7.99435
26,3,1425,15,7.98868
167,3,1403,85,7.99435
4,4,1613,5,6.82018
13,3,1434,10,5.75489
13,2,1217,10,7.93664
43,2,1210,25,6.71425
178,0,819,90,7.98868
170,1,1031,90,7.99435
103,2,1206,55,7.98868
48,2,1244,25,7.7879
154,1,1032,80,7.70044
18,1,1003,10,7.16993
89,2,1210,45,7.99435
172,1,1021,90,7.99435
39,0,841,20,7.88874
26,4,1602,15,7.96
55,3,1403,30,7.99435
141,1,1010,75,7.99435
129,2,1216,65,7.99435
219,1,1037,110,7.98868
256,3,1421,130,7.99435
181,2,1202,95,7.99435
157,0,802,80,7.98299
183,2,1203,95,7.99435
90,1,1004,50,7.99435
85,2,1219,45,7.17991
81,0,830,45,7.9542
32,3,1406,20,7.99435
176,1,1026,90,7.99435
262,1,1012,135,7.99435
197,0,838,100,7.98868
116,1,1019,60,7.98868
174,4,1603,90,7.99435
87,2,1237,45,7.99435
155,2,1202,80,7.99435
14,3,1403,10,7.70736
254,2,1205,130,7.99435
220,0,819,115,7.98868
162,2,1218,85,7.99435
109,1,1024,55,7.99435
248,0,849,125,7.98868
137,1,1029,70,7.98868
128,2,1216,65,7.62936
242,1,1030,125,7.99435
87,3,1441,45,7.99435
188,3,1417,95,7.99435
246,2,1207,125,7.99435
153,2,1223,80,7.99435
126,2,1217,65,7.99435
190,1,1021,100,7.99435
112,0,842,60,7.94837
226,2,1207,115,7.99435
97,1,1010,50,7.98868
87,1,1027,45,7.99435
210,3,1409,110,7.72792
102,3,1430,55,7.83289
25,0,801,15,7.71425
18,4,1621,10,7.96
129,0,803,65,7.98868
118,1,1006,60,7.99435
170,2,1217,90,7.8392
63,0,811,35,7.94251
162,3,1424,85,7.99435
60,2,1210,35,7.98868
107,1,1008,55,7.98868
58,2,1224,30,7.99435
151,3,1404,80,7.55459
107,3,1414,55,6.90689
12,0,817,10,7.33092
10,4,1619,10,7.58496
214,1,1049,110,7.99435
83,4,1652,45,7.99435
99,2,1203,50,7.98868
40,0,839,25,7.98299
106,4,1613,55,7.99435
135,0,841,70,7.98299
221,3,1421,115,6.72792
207,0,814,105,7.98868
219,2,1221,110,7.99435
189,1,1032,95,7.98868
232,2,1214,120,7.99435
8,1,1002,5,6.50779
199,0,801,100,7.98868
110,0,808,60,7.96578
89,3,1415,45,6.20945
13,0,806,10,7.7879
139,0,851,70,7.98868
116,2,1210,60,7.98868
131,3,1421,70,7.99435
160,1,1015,85,7.99435
7,0,816,5,7.14975
145,0,824,75,7.98868
206,0,815,105,7.98868
79,1,1008,40,7.99435
114,3,1406,60,7.99435
15,1,1009,10,7.93074
90,3,1412,50,7.99435
159,0,865,80,7.98868
223,1,1010,115,7.98868
229,1,1002,115,7.99435
172,2,1234,90,7.99435
186,3,1416,95,6.84549
42,3,1405,25,7.99435
217,2,1223,110,6.42626
46,4,1621,25,7.99435
114,1,1019,60,7.99435
82,2,1217,45,7.43463
221,0,817,115,7.98868
63,2,1220,35,7.37504
82,4,1613,45,7.94837
224,1,1016,115,7.99435
241,1,1006,125,7.99435
192,1,1024,100,7.99435
56,2,1203,30,6.85798
204,3,1406,105,7.40088
21,1,1012,15,7.56986
193,3,1417,100,7.25739
182,1,1031,95,7.99435
96,1,1040,50,7.99435
146,0,815,75,7.98868
174,1,1017,90,7.99435
49,3,1414,25,7.98868
234,1,1038,120,7.99435
223,2,1205,115,7.99435
82,1,1031,45,7.99435
9,2,1204,5,6.32193
260,1,1024,135,7.99435
14,2,1218,10,7.33092
117,0,835,60,7.98868
180,1,1007,95,7.99435
70,3,1416,40,7.99435
84,0,822,45,7.9542
158,0,831,80,7.98868
35,1,1026,20,7.96578
59,3,1417,30,7.04439
217,0,819,110,7.98868
83,2,1221,45,7.99435
237,3,1401,120,7.99435
215,1,1005,110,7.98868
56,3,1406,30,6.87036
52,1,1039,30,7.97728
158,4,1615,80,7.99435
201,0,817,105,7.98868
190,0,844,100,7.98868
132,2,1208,70,7.99435
143,4,1614,75,7.99435
221,2,1222,115,7.75489
16,3,1411,10,7.10852
100,2,1212,55,6.64386
96,2,1222,50,7.99435
15,3,1406,10,7.74147
249,1,1022,125,7.99435
47,1,1015,25,7.85798
70,0,824,40,7.9542
40,2,1209,25,7.98299
38,2,1204,20,7.98868
198,3,1417,100,6.61471
224,3,1409,115,7.99435
65,0,821,35,7.9542
23,3,1408,15,6.22882
72,3,1419,40,7.27612
122,0,854,65,7.98299
199,2,1215,100,7.98868
106,1,1008,55,7.98868
233,1,1030,120,7.99435
194,3,1401,100,6.97728
223,0,830,115,7.99435
119,2,1203,60,7.99435
44,3,1421,25,7.93664
227,2,1215,115,7.99435
106,0,826,55,7.97728
265,0,848,135,7.99435
133,2,1222,70,7.99435
105,2,1220,55,7.98868
194,0,850,100,7.99435
44,0,824,25,7.81378
25,1,1028,15,7.29462
39,3,1404,20,7.61471
199,1,1027,100,7.99435
246,4,1605,125,7.99435
55,2,1201,30,7.98299
10,2,1206,10,7.01123
12,4,1621,10,7.82655
36,2,1204,20,7.80735
127,3,1417,65,7.65821
264,1,1010,135,7.99435
45,1,1029,25,7.82655
211,2,1212,110,7.70044
47,2,1208,25,7.98868
135,3,1410,70,7.99435
39,2,1210,20,7.76818
13,1,1031,10,7.2384
227,0,850,115,7.99435
177,2,1214,90,7.99435
52,2,1244,30,7.99435
156,2,1237,80,7.99435
44,2,1202,25,7.99435
27,3,1401,15,5.88264
156,1,1026,80,7.99435
143,0,851,75,7.99435
43,3,1406,25,7.66534
195,2,1232,100,7.99435
37,0,842,20,7.90087
32,4,1602,20,7.99435
263,3,1420,135,7.99435
215,2,1201,110,7.13955
140,4,1605,75,7.99435
135,2,1210,70,7.99435
177,3,1415,90,7.99435
38,0,829,20,7.56224
76,0,820,40,7.96
178,1,1002,90,7.98868
87,0,851,45,7.98868
185,1,1021,95,7.98868
55,0,822,30,7.8392
99,0,801,50,7.96578
219,3,1404,110,7.99435
84,2,1201,45,7.99435
171,3,1409,90,7.99435
186,2,1214,95,7.62205
241,0,824,125,7.99435
9,1,1009,5,6.12928
64,1,1022,35,7.99435
175,1,1032,90,7.98868
14,0,807,10,7.48382
92,3,1402,50,7.98868
192,4,1607,100,7.98868
124,2,1227,65,7.99435
111,3,1401,60,7.98868
224,0,837,115,7.99435
144,2,1218,75,7.99435
135,1,1020,70,7.99435
181,1,1007,95,7.98868
232,3,1409,120,7.99435
29,0,807,15,7.53138
157,2,1216,80,7.99435
61,2,1219,35,7.98868
212,1,1002,110,7.99435
81,3,1422,45,7.36632
30,1,1026,20,7.98868
228,3,1420,115,7.99435
43,0,841,25,7.90689
146,3,1403,75,7.99435
252,2,1210,130,6.75489
42,0,821,25,7.94251
254,1,1011,130,7.98868
89,1,1020,45,7.99435
4,2,1218,5,6.67243
90,2,1201,50,7.99435
231,3,1424,120,7.99435
103,1,1013,55,7.98868
86,3,1408,45,7.99435
247,2,1211,125,7.99435
118,2,1202,60,7.98868
136,2,1210,70,7.98868
106,2,1203,55,7.99435
211,0,845,110,7.98868
178,3,1408,90,7.03342
48,3,1432,25,7.85798
83,0,815,45,7.98868
217,1,1041,110,7.99435
193,1,1024,100,7.99435
190,3,1430,100,7.98868
122,3,1421,65,7.99435
27,0,822,15,7.73471
195,3,1407,100,7.99435
41,3,1405,25,7.2384
207,3,1401,105,7.99435
7,2,1222,5,6.45943
139,2,1215,70,7.99435
229,0,819,115,7.99435
192,3,1423,100,7.98868
