index,exposure,result
718,143,7.96578
1154,230,7.99435
1491,298,7.98868
1279,255,7.98868
314,62,7.76818
522,104,7.97728
526,105,7.96
329,65,7.76818
1233,246,7.99435
561,112,7.96
109,21,7.08746
384,76,7.84549
456,91,7.92481
1226,245,7.99435
387,77,7.89482
338,67,7.7879
75,15,6.78136
1313,262,7.99435
573,114,7.94837
1401,280,7.98868
1029,205,7.98868
55,11,6.53916
1166,233,7.99435
686,137,7.96578
1071,214,7.98868
1088,217,7.98868
813,162,7.97728
1440,288,7.99435
1176,235,7.99435
463,92,7.93074
1001,200,7.98868
751,150,7.97154
1425,285,7.99435
160,32,7.3837
849,169,7.98299
1339,267,7.99435
497,99,7.94837
897,179,7.98868
34,6,5.9542
542,108,7.9542
878,175,7.98868
970,194,7.98868
258,51,7.62205
745,149,7.97728
1431,286,7.99435
1322,264,7.99435
1030,206,7.98868
202,40,7.53916
67,13,6.61471
655,131,7.96
898,179,7.98868
507,101,7.96578
429,85,7.93664
166,33,7.33985
133,26,7.25739
856,171,7.98868
1384,276,7.98868
1260,252,7.99435
501,100,7.94837
208,41,7.52356
420,84,7.91886
760,152,7.97728
545,109,7.93074
440,88,7.92481
622,124,7.96578
611,122,7.97154
176,35,7.40088
877,175,7.98299
1114,222,7.99435
214,42,7.53916
924,184,7.98868
1488,297,7.98868
782,156,7.98868
537,107,7.98299
1364,272,7.99435
223,44,7.52356
668,133,7.96578
1445,289,7.99435
1392,278,7.98868
933,186,7.98868
771,154,7.97154
1271,254,7.99435
618,123,7.94251
1248,249,7.99435
729,145,7.96
78,15,6.85798
102,20,7.04439
804,160,7.97728
687,137,7.96
1315,263,7.99435
219,43,7.53138
1435,287,7.98868
524,104,7.96
971,194,7.98868
1109,221,7.99435
316,63,7.76818
1438,287,7.99435
820,164,7.97728
500,100,7.96
360,72,7.80735
365,73,7.87652
189,37,7.44294
1017,203,7.98868
792,158,7.98299
560,112,7.96578
525,105,7.9542
719,143,7.98299
1482,296,7.99435
8,1,2.58496
126,25,7.2384
1157,231,7.99435
318,63,7.72792
179,35,7.43463
361,72,7.7879
354,70,7.83289
602,120,7.96578
295,59,7.67243
752,150,7.97728
939,187,7.98868
866,173,7.97728
407,81,7.88874
1562,312,7.98299
1365,273,7.99435
521,104,7.94251
396,79,7.91886
562,112,7.94251
666,133,7.96
895,179,7.98868
96,19,7.01123
563,112,7.9542
1415,283,7.99435
1433,286,7.98868
944,188,7.98868
997,199,7.98868
418,83,7.92481
801,160,7.98868
584,116,7.96
859,171,7.98868
966,193,7.98868
717,143,7.97154
764,152,7.9542
769,153,7.96578
42,8,6.12928
125,25,7.2384
660,132,7.9542
56,11,6.49185
247,49,7.61471
1382,276,7.98868
175,35,7.41785
70,14,6.75489
63,12,6.65821
46,9,6.2854
1527,305,7.98868
1065,213,7.99435
990,198,7.98868
1437,287,7.99435
553,110,7.97154
296,59,7.70736
169,33,7.40939
1037,207,7.98868
931,186,7.98868
1522,304,7.98299
1033,206,7.98868
400,80,7.91289
740,148,7.96578
1116,223,7.99435
207,41,7.50779
646,129,7.96578
227,45,7.54689
58,11,6.65821
1008,201,7.98868
987,197,7.98868
146,29,7.30378
242,48,7.62936
746,149,7.96578
1510,302,7.98868
822,164,7.98868
24,4,4.90689
910,182,7.98299
651,130,7.96
326,65,7.76155
886,177,7.98868
254,50,7.61471
373,74,7.90087
105,21,7.08746
670,134,7.97728
568,113,7.9542
962,192,7.98868
565,113,7.96578
1083,216,7.98868
62,12,6.65821
1472,294,7.99435
309,61,7.72792
1009,201,7.98868
1080,216,7.98868
449,89,7.93664
900,180,7.98868
1399,279,7.99435
617,123,7.97154
292,58,7.7211
1012,202,7.98868
1038,207,7.98868
536,107,7.97154
410,82,7.94251
130,26,7.25739
1165,233,7.99435
1509,301,7.98868
504,100,7.9542
1358,271,7.99435
636,127,7.96
426,85,7.91289
1241,248,7.99435
460,92,7.9542
1363,272,7.99435
406,81,7.89482
498,99,7.9542
781,156,7.97728
448,89,7.9542
1288,257,7.99435
796,159,7.98299
41,8,6.2854
907,181,7.98868
1369,273,7.99435
363,72,7.85798
209,41,7.5157
20,4,5.58496
330,66,7.72792
1049,209,7.98868
724,144,7.96578
1360,272,7.99435
481,96,7.94837
1326,265,7.99435
88,17,6.93074
1142,228,7.98868
234,46,7.55459
3,0,2.32193
337,67,7.82655
13,2,3.80735
319,63,7.76818
72,14,6.79442
279,55,7.65105
1206,241,7.98868
1549,309,7.98868
1191,238,7.99435
1503,300,7.98868
706,141,7.96578
1344,268,7.99435
1564,312,7.98868
241,48,7.56224
955,191,7.98868
906,181,7.98868
1546,309,7.98868
87,17,6.90689
999,199,7.98868
270,54,7.63662
1149,229,7.99435
791,158,7.98299
570,114,7.96
0,0,2.32193
1055,211,7.98868
486,97,7.94837
1501,300,7.99435
211,42,7.53138
922,184,7.98299
54,10,6.44294
47,9,6.35755
1035,207,7.98868
1305,261,7.99435
569,113,7.96578
1504,300,7.98868
953,190,7.98868
558,111,7.96578
797,159,7.98299
1179,235,7.98868
974,194,7.98868
1283,256,7.99435
187,37,7.45943
535,107,7.9542
94,18,6.94251
871,174,7.98299
191,38,7.45121
578,115,7.96578
1258,251,7.99435
480,96,7.96
405,81,7.94837
249,49,7.58496
457,91,7.9542
1205,241,7.99435
958,191,7.99435
355,71,7.82018
1182,236,7.99435
1318,263,7.99435
529,105,7.96
1023,204,7.98868
1294,258,7.99435
855,171,7.98299
372,74,7.85798
579,115,7.9542
320,64,7.7211
1397,279,7.99435
593,118,7.9542
1446,289,7.99435
985,197,7.98868
1289,257,7.99435
830,166,7.98299
1396,279,7.98868
383,76,7.90689
739,147,7.97154
1450,290,7.98868
172,34,7.40088
1255,251,7.99435
989,197,7.98868
348,69,7.79442
1390,278,7.99435
869,173,7.98299
1539,307,7.98868
506,101,7.96578
1245,249,7.99435
151,30,7.34873
508,101,7.96578
1168,233,7.99435
1063,212,7.98868
1521,304,7.99435
1249,249,7.99435
853,170,7.98299
1102,220,7.99435
401,80,7.94251
1120,224,7.99435
607,121,7.96578
1207,241,7.99435
698,139,7.96578
810,162,7.97728
826,165,7.97728
424,84,7.88874
847,169,7.98868
586,117,7.9542
947,189,7.98868
757,151,7.96578
422,84,7.91886
744,148,7.97154
364,72,7.82655
756,151,7.97154
1276,255,7.99435
1284,256,7.99435
1214,242,7.99435
1343,268,7.98868
550,110,7.9542
235,47,7.57743
1404,280,7.99435
858,171,7.98299
240,48,7.59991
767,153,7.97728
681,136,7.96
787,157,7.98868
272,54,7.65105
1135,227,7.99435
1372,274,7.99435
294,58,7.7211
474,94,7.96
155,31,7.33985
1373,274,7.99435
1062,212,7.98868
1095,219,7.98868
1371,274,7.99435
1439,287,7.98868
129,25,7.12928
662,132,7.96
837,167,7.98868
111,22,7.13955
121,24,7.17991
16,3,4.52356
964,192,7.99435
1034,206,7.98868
203,40,7.49985
1175,235,7.99435
1044,208,7.98868
454,90,7.9542
142,28,7.24793
730,146,7.97154
1443,288,7.98868
1499,299,7.99435
518,103,7.93074
81,16,6.84549
43,8,6.2854
673,134,7.96
1532,306,7.98868
1451,290,7.99435
303,60,7.7211
441,88,7.93074
1428,285,7.99435
808,161,7.98299
908,181,7.98299
442,88,7.94837
587,117,7.96578
1224,244,7.99435
741,148,7.96
198,39,7.46761
1040,208,7.98868
1303,260,7.99435
623,124,7.96578
466,93,7.94837
612,122,7.96
265,53,7.64386
1178,235,7.99435
271,54,7.65105
98,19,6.97728
941,188,7.98868
1186,237,7.99435
576,115,7.96
150,30,7.30378
788,157,7.98868
747,149,7.96578
761,152,7.97154
195,39,7.49985
482,96,7.94837
402,80,7.94251
1112,222,7.99435
347,69,7.75489
850,170,7.98299
1129,225,7.99435
334,66,7.74147
628,125,7.96578
310,62,7.78136
1246,249,7.99435
300,60,7.75489
375,75,7.88874
302,60,7.76155
727,145,7.97154
511,102,7.96
935,187,7.98868
669,133,7.96
215,43,7.53916
496,99,7.96
663,132,7.96578
68,13,6.75489
775,155,7.98299
1122,224,7.99435
779,155,7.98868
834,166,7.98299
101,20,7.03342
6,1,2.32193
1150,230,7.99435
1210,242,7.99435
1219,243,7.99435
699,139,7.96578
1340,268,7.99435
1383,276,7.98868
11,2,3.70044
1167,233,7.99435
1092,218,7.99435
370,74,7.87036
1496,299,7.99435
667,133,7.96
1013,202,7.99435
814,162,7.97728
1530,306,7.98868
1457,291,7.99435
397,79,7.91886
1529,305,7.98868
362,72,7.85798
244,48,7.59991
530,106,7.9542
323,64,7.74147
1525,305,7.99435
1162,232,7.99435
436,87,7.94251
1378,275,7.99435
52,10,6.44294
1379,275,7.99435
57,11,6.58496
245,49,7.57743
633,126,7.96578
1432,286,7.99435
647,129,7.96
1266,253,7.99435
264,52,7.61471
412,82,7.93074
1231,246,7.99435
1066,213,7.98868
1243,248,7.98868
134,26,7.26679
627,125,7.97154
965,193,7.98868
135,27,7.2384
84,16,6.88264
276,55,7.63662
409,81,7.90689
803,160,7.98299
1107,221,7.99435
1152,230,7.99435
115,23,7.14975
1096,219,7.99435
996,199,7.98868
759,151,7.96578
243,48,7.58496
592,118,7.94837
861,172,7.98868
1170,234,7.99435
701,140,7.96578
1534,306,7.98868
659,131,7.96578
672,134,7.96578
1101,220,7.99435
122,24,7.13955
201,40,7.49985
145,29,7.2854
128,25,7.20945
938,187,7.98868
1187,237,7.99435
1077,215,7.99435
1505,301,7.98299
1085,217,7.98868
743,148,7.9542
809,161,7.98868
1490,298,7.98868
35,7,6.12928
1319,263,7.98868
1302,260,7.99435
1558,311,7.98868
960,192,7.98868
972,194,7.98868
930,186,7.98868
1295,259,7.99435
800,160,7.97728
1538,307,7.99435
838,167,7.98299
152,30,7.2854
594,118,7.96
138,27,7.25739
114,22,7.18982
200,40,7.50779
1485,297,7.99435
484,96,7.9542
268,53,7.66534
1051,210,7.99435
60,12,6.58496
156,31,7.29462
601,120,7.96
1126,225,7.99435
282,56,7.70044
358,71,7.85798
1331,266,7.99435
1228,245,7.99435
789,157,7.97728
1359,271,7.99435
226,45,7.53138
805,161,7.97728
732,146,7.96578
881,176,7.98299
951,190,7.98868
37,7,6.12928
421,84,7.93664
465,93,7.94837
51,10,6.42626
1042,208,7.98868
815,163,7.98868
1518,303,7.99435
414,82,7.92481
520,104,7.96
649,129,7.96
76,15,6.84549
1467,293,7.99435
885,177,7.98299
986,197,7.98868
9,1,2.58496
31,6,5.85798
1375,275,7.99435
1041,208,7.98868
1174,234,7.99435
1257,251,7.99435
1272,254,7.98868
541,108,7.9542
230,46,7.53916
450,90,7.96
415,83,7.91289
367,73,7.85175
674,134,7.96
153,30,7.31288
351,70,7.82655
1377,275,7.99435
1531,306,7.98868
693,138,7.97154
1561,312,7.98868
713,142,7.96578
1153,230,7.99435
1047,209,7.98868
1287,257,7.99435
1526,305,7.99435
1264,252,7.99435
923,184,7.98868
1492,298,7.99435
127,25,7.25739
280,56,7.65821
766,153,7.96578
577,115,7.9542
1229,245,7.99435
1395,279,7.98868
1314,262,7.99435
1256,251,7.99435
119,23,7.18982
613,122,7.96
231,46,7.55459
638,127,7.96
1455,291,7.99435
416,83,7.91289
903,180,7.98868
417,83,7.96
863,172,7.98299
107,21,7.07682
1225,245,7.99435
1385,277,7.99435
1352,270,7.98868
1430,286,7.99435
1221,244,7.99435
854,170,7.97728
184,36,7.46761
857,171,7.98868
1067,213,7.98868
445,89,7.93074
1204,240,7.99435
36,7,6.12928
1508,301,7.99435
1355,271,7.99435
1070,214,7.99435
1097,219,7.98868
614,122,7.9542
1211,242,7.99435
246,49,7.62936
1466,293,7.99435
21,4,5.45943
1400,280,7.98868
981,196,7.98868
284,56,7.67948
1025,205,7.98868
1280,256,7.99435
1091,218,7.98868
1495,299,7.99435
915,183,7.98868
132,26,7.24793
1427,285,7.99435
451,90,7.93074
173,34,7.40088
459,91,7.93664
1345,269,7.99435
1442,288,7.99435
147,29,7.31288
842,168,7.98299
1053,210,7.98868
715,143,7.97154
794,158,7.98299
1043,208,7.98868
956,191,7.98868
1325,265,7.99435
637,127,7.96
281,56,7.69349
1553,310,7.98868
1511,302,7.98868
1474,294,7.98868
1548,309,7.99435
552,110,7.94837
645,129,7.97728
1542,308,7.98868
238,47,7.62936
444,88,7.93074
1230,246,7.99435
1316,263,7.99435
690,138,7.96578
255,51,7.61471
991,198,7.98868
812,162,7.97728
824,164,7.98299
503,100,7.96
1268,253,7.98868
478,95,7.96
589,117,7.97154
711,142,7.97154
455,91,7.9542
1111,222,7.99435
139,27,7.22882
23,4,4.90689
485,97,7.94251
1227,245,7.99435
99,19,7.03342
609,121,7.97154
1320,264,7.98868
266,53,7.67243
1336,267,7.99435
353,70,7.81378
543,108,7.96
694,138,7.9542
726,145,7.97728
1368,273,7.98868
222,44,7.56224
1297,259,7.99435
1540,308,7.98299
1020,204,7.98868
1238,247,7.99435
1341,268,7.99435
1021,204,7.98868
610,122,7.96
1422,284,7.99435
1348,269,7.99435
1193,238,7.99435
1234,246,7.99435
325,65,7.74819
774,154,7.97154
304,60,7.67243
750,150,7.97728
413,82,7.90087
998,199,7.98868
876,175,7.98868
233,46,7.58496
753,150,7.96578
868,173,7.98299
90,18,6.94251
1321,264,7.99435
1194,238,7.99435
940,188,7.98868
493,98,7.96578
1543,308,7.99435
904,180,7.98868
685,137,7.97154
1417,283,7.99435
1100,220,7.98868
277,55,7.66534
1247,249,7.99435
180,36,7.41785
66,13,6.70044
1479,295,7.98868
137,27,7.26679
778,155,7.98299
608,121,7.9542
840,168,7.98868
1151,230,7.99435
32,6,5.83289
919,183,7.98868
862,172,7.98299
131,26,7.2384
1278,255,7.99435
948,189,7.98868
1459,291,7.99435
888,177,7.98299
926,185,7.98868
1554,310,7.99435
1064,212,7.98868
1337,267,7.99435
1456,291,7.98868
253,50,7.64386
790,158,7.98299
381,76,7.88264
959,191,7.99435
1118,223,7.98868
733,146,7.97154
1324,264,7.99435
994,198,7.98868
1188,237,7.99435
33,6,5.88264
283,56,7.70044
1524,304,7.99435
952,190,7.98868
