index,exposure,result
718,143,5.85798
1154,230,6.50779
1491,298,6.72792
1279,255,6.61471
314,62,4.75489
522,104,5.45943
526,105,5.52356
329,65,4.75489
1233,246,6.61471
561,112,5.52356
109,21,3
384,76,5.04439
456,91,5.32193
1226,245,6.47573
387,77,5
338,67,4.75489
75,15,2.58496
1313,262,6.58496
573,114,5.64386
1401,280,6.58496
1029,205,6.24793
55,11,2
1166,233,6.59991
686,137,5.97728
1071,214,6.53916
1088,217,6.45943
813,162,6.22882
1440,288,6.75489
1176,235,6.47573
463,92,5.32193
1001,200,6.30378
751,150,5.88264
1425,285,6.62936
160,32,3.70044
849,169,6.12928
1339,267,6.64386
497,99,5.42626
897,179,6.12928
34,6,2
542,108,5.45943
878,175,6.35755
970,194,6.2854
258,51,4.45943
745,149,5.90689
1431,286,6.62936
1322,264,6.58496
1030,206,6.24793
202,40,4
67,13,2.32193
655,131,5.83289
898,179,6.08746
507,101,5.39232
429,85,5.12928
166,33,3.70044
133,26,3.45943
856,171,6.18982
1384,276,6.62936
1260,252,6.55459
501,100,5.39232
208,41,4.08746
420,84,5.20945
760,152,5.9542
545,109,5.49185
440,88,5.35755
622,124,5.61471
611,122,5.72792
176,35,3.70044
877,175,6.22882
1114,222,6.50779
214,42,4.16993
924,184,6.35755
1488,297,6.64386
782,156,6.24793
537,107,5.64386
1364,272,6.67243
223,44,4.16993
668,133,5.9542
1445,289,6.71425
1392,278,6.56986
933,186,6.22882
771,154,5.83289
1271,254,6.67243
618,123,5.64386
1248,249,6.45943
729,145,5.85798
78,15,2.58496
102,20,3
804,160,6.02237
687,137,6.08746
1315,263,6.67243
219,43,4.08746
1435,287,6.58496
524,104,5.35755
971,194,6.20945
1109,221,6.44294
316,63,4.80735
1438,287,6.52356
820,164,6
500,100,5.39232
360,72,5
365,73,4.90689
189,37,3.90689
1017,203,6.30378
792,158,6.08746
560,112,5.67243
525,105,5.49185
719,143,5.90689
1482,296,6.72792
8,1,1.58496
126,25,3.45943
1157,231,6.61471
318,63,4.75489
179,35,3.90689
361,72,4.90689
354,70,4.85798
602,120,5.64386
295,59,4.64386
752,150,5.9542
939,187,6.33985
866,173,5.9542
407,81,5.04439
1562,312,6.71425
1365,273,6.58496
521,104,5.58496
396,79,4.9542
